date,time,heart_rate
2016-03-15,00:48:00,81
2016-03-15,00:50:00,76
2016-03-15,00:53:00,69
2016-03-15,01:09:00,69
2016-03-15,01:30:00,69
2016-03-15,01:45:00,67
2016-03-15,01:58:00,67
2016-03-15,02:13:00,66
2016-03-15,02:28:00,66
2016-03-15,02:45:00,66
2016-03-15,02:51:00,66
2016-03-15,03:08:00,67
2016-03-15,03:18:00,67
2016-03-15,03:32:00,69
2016-03-15,04:00:00,69
2016-03-15,04:08:00,69
2016-03-15,04:28:00,69
2016-03-15,04:31:00,59
2016-03-15,04:31:00,59
2016-03-15,04:51:00,59
2016-03-15,04:51:00,59
2016-03-15,04:51:00,59
2016-03-15,05:42:00,61
2016-03-15,06:00:00,61
2016-03-15,06:00:00,67
2016-03-15,06:16:00,67
2016-03-15,06:16:00,62
2016-03-15,06:16:00,62
2016-03-15,07:01:00,62
2016-03-15,07:14:00,60
2016-03-15,07:33:00,60
2016-03-15,07:33:00,67
2016-03-15,07:47:00,67
2016-03-15,07:50:00,77
2016-03-15,08:05:00,77
2016-03-15,08:05:00,101
2016-03-15,08:05:00,91
2016-03-15,08:22:00,99
2016-03-15,08:22:00,79
2016-03-15,08:38:00,86
2016-03-15,08:45:00,106
2016-03-15,08:45:00,106
2016-03-15,08:45:00,113
2016-03-15,08:45:00,102
2016-03-15,09:22:00,102
2016-03-15,09:22:00,97
2016-03-15,09:22:00,91
2016-03-15,09:22:00,84
2016-03-15,10:05:00,84
2016-03-15,10:20:00,98
2016-03-15,10:20:00,90
2016-03-15,10:40:00,90
2016-03-15,10:55:00,90
2016-03-15,10:56:00,80
2016-03-15,11:11:00,80
2016-03-15,11:19:00,86
2016-03-15,11:40:00,86
2016-03-15,11:54:00,86
2016-03-15,12:03:00,78
2016-03-15,12:16:00,69
2016-03-15,12:30:00,69
2016-03-15,12:32:00,83
2016-03-15,12:32:00,74
2016-03-15,12:45:00,77
2016-03-15,12:56:00,66
2016-03-15,13:06:00,76
2016-03-15,13:17:00,75
2016-03-15,13:36:00,75
2016-03-15,13:51:00,75
2016-03-15,14:05:00,73
2016-03-15,14:21:00,73
2016-03-15,14:37:00,70
2016-03-15,14:44:00,70
2016-03-15,15:01:00,67
2016-03-15,15:21:00,86
2016-03-15,15:22:00,91
2016-03-15,15:22:00,85
2016-03-15,15:46:00,78
2016-03-15,15:55:00,84
2016-03-15,16:15:00,80
2016-03-15,16:15:00,75
2016-03-15,16:32:00,75
2016-03-15,16:50:00,78
2016-03-15,17:04:00,78
2016-03-15,17:19:00,78
2016-03-15,17:35:00,76
2016-03-15,17:44:00,84
2016-03-15,17:59:00,86
2016-03-15,18:14:00,88
2016-03-15,18:24:00,78
2016-03-15,18:30:00,94
2016-03-15,18:32:00,88
2016-03-15,18:47:00,88
2016-03-15,19:01:00,85
2016-03-15,19:16:00,85
2016-03-15,19:26:00,90
2016-03-15,19:26:00,82
2016-03-15,19:40:00,89
2016-03-15,19:40:00,77
2016-03-15,20:02:00,74
2016-03-15,20:02:00,74
2016-03-15,20:28:00,84
2016-03-15,20:42:00,84
2016-03-15,20:51:00,84
2016-03-15,21:12:00,83
2016-03-15,21:20:00,83
2016-03-15,21:20:00,73
2016-03-15,21:45:00,73
2016-03-15,22:00:00,73
2016-03-15,22:14:00,73
2016-03-15,22:30:00,73
2016-03-15,22:44:00,70
2016-03-15,23:00:00,70
2016-03-15,23:10:00,70
2016-03-15,23:26:00,70
2016-03-15,23:45:00,70
2016-03-16,00:00:00,70
2016-03-16,00:14:00,71
2016-03-16,00:30:00,71
2016-03-16,00:34:00,76
2016-03-16,00:42:00,79
2016-03-16,00:42:00,98
2016-03-16,00:42:00,120
2016-03-16,00:42:00,112
2016-03-16,00:42:00,113
2016-03-16,00:42:00,91
2016-03-16,00:42:00,83
